,FacilityID,FacilityType,Longitude,Latitude,Builtyear,Spannumber,Spanlength_m,Structurelength_m,Deckwidth_m,Skew_deg,Facility_Description,NBIclass,HAZUSclass,Customclass,Vs30,Rhypo,im,State,Repair_Cost,RepairTime,exists_in_netfile
0,06_55 0490,Bridge,-117.91180279999999,33.85359444,1959,3,2.4,7.9,32.1,15,3-span;15.0 deg skew;7.9 m structure Length;2.4 m Max Span Length; Built 1959;NBI 119,119,HWB5,Unknown,760,7.508384772,346.467279,Complete,232110.9813,125,0
1,06_55C0288,Bridge,-117.92308059999999,33.87894167,1966,2,6.4,13.7,23.7,51,2-span;51.0 deg skew;13.7 m structure Length;6.4 m Max Span Length; Built 1966;NBI 119,119,HWB5,Unknown,760,5.781841251,533.0572993,Complete,394700.2376,122,0
2,06_55C0308,Bridge,-117.92003329999999,33.86831389,1978,4,13.7,48.5,16.8,0,4-span;0.0 deg skew;48.5 m structure Length;13.7 m Max Span Length; Built 1978;NBI 505,505,HWB17,Unknown,760,6.323099643,463.2861412,Complete,554311.0198,115,0
3,06_55C0295,Bridge,-117.91978329999999,33.86309444,1977,2,5.2,11.3,23.8,0,2-span;0.0 deg skew;11.3 m structure Length;5.2 m Max Span Length; Built 1977;NBI 119,119,HWB5,Unknown,760,6.60560059,431.40585930000003,Complete,359437.3383,110,0
4,06_55C0291,Bridge,-117.93753059999999,33.87446111,1939,1,8.2,24.4,22.4,99,1-span;99.0 deg skew;24.4 m structure Length;8.2 m Max Span Length; Built 1939;NBI 104,104,HWB3,Unknown,760,5.522097329,571.1786793,Complete,618182.2747,108,0
5,06_55C0292,Bridge,-117.97623059999998,33.8681,1958,1,9.4,10.4,24.4,0,1-span;0.0 deg skew;10.4 m structure Length;9.4 m Max Span Length; Built 1958;NBI 501,501,HWB3,Unknown,760,6.223704175,475.2024351,Complete,238915.3788,95,1
6,06_55C0196,Bridge,-118.00263059999999,33.87797778,1960,2,11.0,21.9,11.0,0,2-span;0.0 deg skew;21.9 m structure Length;11 m Max Span Length; Built 1960;NBI 501,501,HWB17,Unknown,760,7.196275227999999,373.20818629999997,Complete,254667.5202,96,0
7,06_55C0197,Bridge,-117.9959472,33.87725,1950,1,15.2,15.5,10.7,0,1-span;0.0 deg skew;15.5 m structure Length;15.2 m Max Span Length; Built 1950;NBI 501,501,HWB3,Unknown,760,6.81183476,409.8615616,Complete,180881.167,95,0
8,06_55C0232,Bridge,-117.9802,33.86653056,1958,1,10.7,11.0,9.8,28,1-span;28.0 deg skew;11.0 m structure Length;10.7 m Max Span Length; Built 1958;NBI 501,501,HWB3,Unknown,760,6.455239842,448.01826739999996,Extensive,26427.53311,75,0
9,06_55 0296F,Bridge,-117.97654440000001,33.857275,1958,3,32.2,54.6,13.5,12,3-span;12.0 deg skew;54.6 m structure Length;32.2 m Max Span Length; Built 1958;NBI 302,302,HWB12,MSSTEEL,760,6.855516279,405.4738745,Extensive,246622.9818,74,0
10,06_55C0354,Bridge,-117.9077972,33.85177222,1961,2,8.2,16.8,12.2,12,2-span;12.0 deg skew;16.8 m structure Length;8.2 m Max Span Length; Built 1961;NBI 501,501,HWB17,Unknown,760,7.80444443,323.3235543,Extensive,62650.81637000001,65,0
